vaultName,network,Current_Deposits,Current_Borrows,Supply_Emissions_USD,Borrow_Emissions_USD,Supply_Net_APR,Borrow_Net_APR,Supply_Change_Pct,Borrow_Change_Pct,Utilization
ionuSOLb,base,0.0,0.0,554.0,185.0,0.074,-0.0162,-100.0,165.9033,0.0
ionuSUIb,base,0.0,0.0,554.0,185.0,-0.019,0.0431,-100.0,98.528,0.0
ionwBTCbob,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionwBTCm,mode,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0
ionwBTCo,optimism,0.0,0.0,0.0,0.0,0.013,-0.0204,0.0,0.0,0.0
ionwETHb,base,0.0,0.0,1847.0,4617.0,0.084,-0.0675,0.0,0.0,0.0
ionwETHbob,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionwETHm,mode,0.0,0.0,277.0,0.0,0.042,0.0,0.0,0.0,0.0
ionwETHo,optimism,0.0,0.0,185.0,0.0,0.075,-0.0458,0.0,0.0,0.0
ionwUSD+b,base,0.0,0.0,554.0,0.0,0.06,0.0,0.0,0.0,0.0
ionwUSDMb,base,130226.01,-64819.5816,185.0,369.0,0.2,-0.0373,-100.0,-49.7747,-0.4977
ionwUSDMo,optimism,59698.4269,751810.8618,92.0,0.0,0.152,-0.0889,-53.3223,1259.3479,12.5935
ionweETH.modem,mode,0.0,0.0,1847.0,369.0,0.044,-0.016,0.0,0.0,0.0
ionweETHb,base,4211.5089,4569.0451,923.0,0.0,0.046,-0.0023,-100.0,108.4895,1.0849
ionweETHo,optimism,0.0,0.0,185.0,0.0,0.07,-0.0326,0.0,0.0,0.0
ionwfrxETHf,,0.0,0.0,185.0,0.0,3.95,-0.0011,0.0,0.0,0.0
ionwrsETHm,mode,1201881.796,-571424.5208,0.0,0.0,0.01,0.0,-99.3703,-47.5442,-0.4754
ionwstETHb,base,52.8056,-1.567,0.0,0.0,0.026,-0.0419,-86.7512,-2.9676,-0.0297
ionwstETHo,optimism,16.0573,202.2178,0.0,0.0,0.0,-0.0873,0.0,1259.3479,12.5935
ionwsuperOETHb,base,1002417.3191,259297.1039,0.0,0.0,0.0,0.0,0.0,25.8672,0.2587
