vaultName,Total Supply at Start,Total Borrowed at Start,Total Supply at End,Total Borrowed at End,Change in Supply %,Change in Borrow %,network,Initial_Utilization,Final_Utilization,Avg_Borrow_Amount,Avg_Utilization,Borrow_Rate,Period_Interest,Period_Revenue,Annual_Interest,Annual_Revenue,Effective_Borrow_APR,Supply_APR
ionAEROb,27746.4,21824.32,302913.26,181433.46,991.72,731.34,Base,0.7865640227200645,0.5989617621889514,62925.844370554136,0.6863831095844655,0.12354895972520379,1916.9809179810495,191.69809179810497,7774.422611812034,777.4422611812034,12.354895972520378,7.6321727245900135
ionEURCb,0.0,0.0,50064.93,40918.39,,,Base,0.0,0.8173064458494199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionLUSDo,21.76,4.12,21.63,4.1,-0.57,-0.57,Optimism,0.18933823529411764,0.18955154877484973,4.109987834531873,0.18944486201081548,0.03410007516194678,0.03455775470274011,0.0034557754702740115,0.14015089407222378,0.014015089407222379,3.4100075161946783,0.58140756302521
ionMBTCm,143630679.2,203019.9,99852946.33,674765.7,-30.48,232.36,Mode,0.001413485622506198,0.006757594290407755,370122.77008775075,0.0030905925600475605,0.0005563066608085609,50.770297557550194,5.07702975575502,205.90176231673132,20.590176231673134,0.05563066608085609,0.00015473855042998563
ionMODEmi,190275.1,112169.49,789992.84,541561.62,315.18,382.81,Mode,0.589512185251775,0.6855272511077443,246468.4375715759,0.6357095782274863,0.11442772408094753,6954.120584162268,695.4120584162268,28202.82236910253,2820.2822369102532,11.442772408094754,6.54685201917273
ionOGNb,0.0,0.0,14517.92,0.0,,0.0,Base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionOPo,1353.01,4.8,160533.23,2814.27,11764.92,58541.57,Optimism,0.003547645619766299,0.01753076294546618,116.22605559856189,0.007886249702782967,0.001419524946500934,0.04068142652602926,0.004068142652602926,0.16498578535556313,0.016498578535556314,0.1419524946500934,0.0010075255368692398
ionRSRb,491009.36,0.0,2045614.24,316654.2,316.61,,Base,0.0,0.1547966345795481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionSNXo,14.09,1.68,189751.75,66477.06,1346456.12,3966208.57,Optimism,0.11923349893541518,0.3503370061145681,334.1877627921166,0.20438176788940324,0.03678871822009258,3.031480957305777,0.3031480957305777,12.294339437962318,1.2294339437962318,3.678871822009258,0.6767048941386861
ionSTONEm,483914.78,33548.77,572109.01,24239.87,18.23,-27.75,Mode,0.06932784735361874,0.042369320490163224,28516.974304085976,0.05419754407183583,0.00975555793293045,68.59701243996157,6.859701243996158,278.1989948953997,27.819899489539974,0.975555793293045,0.04758545529138111
ionUSDCb,449555.06,298827.29,1817789.35,1462658.59,304.35,389.47,Base,0.6647178879490312,0.804635911196201,661122.0028443473,0.731338419241245,0.1316409154634241,21459.62605991729,2145.962605991729,87030.70568744234,8703.070568744235,13.16409154634241,8.664665312024185
ionUSDCm,1082838.59,908723.17,1573296.2,1388527.4,45.29,52.8,Mode,0.8392046408320191,0.8825594315933643,1123292.9362191583,0.8606090696728801,0.3864362786915202,107033.70628430202,10703.370628430202,434081.1421530027,43408.11421530027,38.64362786915202,29.93135096633031
ionUSDCmi,105773.98,4208.74,608877.68,38204.79,475.64,807.75,Mode,0.03978993699584718,0.0627462481462615,12680.458503721386,0.04996668150343324,0.008994002670617982,28.121443803402077,2.8121443803402077,114.04807764713064,11.404807764713064,0.8994002670617982,0.0404460420195417
ionUSDCo,69.24,1.27,39454.93,26065.92,56878.93,2058849.64,Optimism,0.0183419988445985,0.6606505194661351,181.94427278702673,0.11008020287377403,0.019814436517279325,0.8889344982298586,0.08889344982298586,3.6051232428210933,0.36051232428210933,1.9814436517279326,0.19630594724864622
ionUSDTm,716197.31,322849.17,568118.72,483236.77,-20.68,49.68,Mode,0.4507824387109189,0.8505911757317204,394984.29096355324,0.6192185111431446,0.11145933200576603,10855.401835948465,1085.5401835948467,44024.68522356878,4402.468522356878,11.145933200576604,6.2115913455857905
